Parental_Involvement,School_Type,Gender,Parental_Education_Level,Internet_Access,Exam_Score
Medium,Private,Male,College,Yes,70.9
High,Public,Female,College,Yes,72.5
High,Public,Female,High School,Yes,67.9
Medium,Private,Female,High School,Yes,70.0
Low,Private,Female,College,No,47.5
Low,Public,Male,College,No,59.4
Low,Private,Female,High School,No,54.7
High,Private,Male,College,Yes,61.8
Medium,Private,Male,High School,Yes,65.6
High,Private,Male,College,Yes,77.9
Low,Private,Male,High School,Yes,57.3
High,Public,Male,College,No,70.8
High,Private,Female,High School,Yes,78.1
Low,Private,Female,College,Yes,69.6
Low,Public,Female,High School,Yes,65.2
Low,Public,Female,High School,Yes,60.7
Medium,Public,Male,High School,Yes,60.4
Medium,Private,Female,College,Yes,60.0
Medium,Private,Male,College,Yes,64.8
Low,Public,Female,High School,Yes,52.8
Medium,Public,Male,College,Yes,73.9
Low,Public,Male,Postgraduate,Yes,60.1
Low,Private,Female,College,No,61.6
Medium,Private,Male,High School,No,63.8
Medium,Private,Male,College,Yes,66.2
High,Public,Female,High School,Yes,75.5
Low,Public,Male,High School,Yes,51.9
Medium,Public,Female,Postgraduate,Yes,69.0
Medium,Public,Female,High School,Yes,58.3
Low,Private,Female,College,No,54.4
Medium,Private,Male,College,Yes,62.9
Low,Private,Male,College,No,58.8
Low,Private,Male,College,Yes,58.9
High,Public,Female,High School,Yes,63.5
High,Private,Male,High School,Yes,61.0
High,Private,Female,College,No,70.6
Medium,Private,Female,High School,Yes,57.5
Low,Public,Male,High School,Yes,58.8
Medium,Public,Female,High School,Yes,62.4
Medium,Public,Male,High School,Yes,52.7
Low,Private,Male,High School,Yes,56.5
Medium,Private,Male,High School,Yes,59.2
Low,Public,Male,College,Yes,59.6
High,Private,Male,College,Yes,77.7
Low,Private,Female,Postgraduate,Yes,56.6
Medium,Public,Female,High School,Yes,62.6
Medium,Public,Female,High School,Yes,61.2
Medium,Private,Male,High School,Yes,66.4
Medium,Public,Male,College,Yes,64.1
Low,Private,Male,College,Yes,57.2
High,Public,Female,High School,No,63.4
High,Private,Male,Postgraduate,Yes,70.0
High,Public,Female,High School,Yes,72.4
High,Public,Female,College,Yes,70.1
Medium,Private,Male,College,Yes,75.5
High,Public,Male,Postgraduate,Yes,70.7
Low,Public,Female,College,Yes,56.5
Low,Public,Male,Postgraduate,Yes,53.4
Low,Private,Female,High School,Yes,51.0
Medium,Private,Male,Postgraduate,Yes,61.1
Medium,Private,Male,High School,Yes,64.3
Low,Public,Female,Postgraduate,Yes,65.5
High,Public,Male,College,Yes,60.1
Medium,Public,Female,Postgraduate,Yes,72.5
Low,Public,Male,College,Yes,55.6
Medium,Public,Female,College,No,63.7
Low,Public,Female,College,Yes,68.1
High,Public,Male,College,Yes,72.5
Low,Private,Female,High School,Yes,58.7
High,Public,Male,High School,Yes,60.5
High,Public,Male,High School,Yes,54.2
Low,Private,Male,High School,Yes,54.4
Low,Public,Female,Postgraduate,Yes,61.9
High,Private,Female,High School,Yes,65.1
High,Private,Male,Postgraduate,Yes,73.3
High,Private,Male,High School,Yes,68.4
High,Public,Female,High School,Yes,65.9
Low,Private,Male,College,No,55.7
Medium,Public,Male,College,Yes,63.8
Low,Public,Female,College,Yes,62.2
High,Public,Male,College,No,60.5
Medium,Private,Female,College,Yes,75.1
Medium,Public,Male,High School,Yes,59.5
Low,Public,Female,Postgraduate,Yes,63.1
Medium,Private,Male,Postgraduate,No,70.5
Medium,Public,Male,College,Yes,64.2
High,Public,Female,High School,Yes,71.8
Medium,Public,Male,College,Yes,64.4
High,Public,Female,High School,No,61.9
Medium,Public,Male,High School,Yes,61.8
Low,Public,Female,High School,Yes,51.3
High,Private,Female,College,Yes,73.5
High,Public,Female,Postgraduate,Yes,72.8
Medium,Public,Female,College,Yes,64.0
High,Private,Male,College,No,68.4
Medium,Public,Male,College,Yes,53.6
Medium,Private,Female,High School,Yes,62.3
Medium,Public,Female,High School,Yes,62.5
Low,Public,Female,Postgraduate,No,61.8
Low,Public,Male,High School,Yes,49.9
Low,Public,Male,Postgraduate,Yes,67.3
Medium,Public,Male,College,No,56.7
Medium,Public,Male,College,No,65.8
Medium,Public,Female,College,No,65.1
High,Public,Female,College,No,64.8
Low,Public,Female,Postgraduate,Yes,71.9
Medium,Public,Male,Postgraduate,Yes,60.0
High,Public,Male,College,Yes,72.6
Low,Public,Male,High School,No,58.0
Low,Private,Female,College,Yes,59.6
Low,Public,Female,Postgraduate,Yes,70.0
Low,Private,Male,High School,Yes,56.7
High,Private,Female,College,Yes,74.4
High,Public,Male,College,Yes,69.3
Medium,Private,Male,College,No,63.3
High,Private,Female,High School,No,72.1
High,Public,Male,College,Yes,72.0
Low,Public,Female,Postgraduate,Yes,54.3
High,Private,Male,High School,Yes,74.5
Medium,Private,Female,High School,Yes,56.7
High,Public,Female,Postgraduate,No,76.2
High,Public,Female,High School,Yes,72.6
Medium,Public,Male,Postgraduate,Yes,60.5
Low,Public,Male,College,No,53.9
Low,Private,Female,High School,Yes,54.5
Medium,Public,Female,Postgraduate,Yes,66.9
High,Public,Male,College,Yes,66.5
High,Private,Male,College,Yes,74.9
Low,Public,Male,High School,Yes,61.6
Medium,Public,Female,College,Yes,72.0
Medium,Private,Male,High School,Yes,60.2
Low,Private,Male,High School,No,55.0
Low,Public,Female,Postgraduate,Yes,54.6
Medium,Public,Male,High School,Yes,56.0
High,Public,Male,College,Yes,72.8
Medium,Public,Male,High School,Yes,68.1
Medium,Public,Female,College,Yes,58.8
High,Public,Female,High School,Yes,64.0
Medium,Public,Female,Postgraduate,Yes,67.9
High,Public,Female,College,No,69.4
High,Public,Female,High School,Yes,63.0
Low,Public,Female,High School,Yes,59.1
