Student_ID,Pre_Test_Score,Post_Test_Score
1,65.0,65.8
2,58.6,60.8
3,66.5,75.2
4,75.2,83.3
5,57.7,62.6
6,57.7,63.2
7,75.8,87.2
8,67.7,69.7
9,55.3,63.0
10,65.4,69.4
11,55.4,59.3
12,55.3,65.8
13,62.4,71.5
14,40.9,49.9
15,42.8,54.3
16,54.4,59.5
17,49.9,58.3
18,63.1,66.6
19,50.9,57.5
20,45.9,50.2
21,74.7,80.1
22,57.7,65.7
23,60.7,61.6
24,45.8,61.2
25,54.6,54.5
26,61.1,60.0
27,48.5,59.3
28,63.8,72.7
29,54.0,62.1
30,57.1,65.2
31,54.0,58.9
32,78.5,79.0
33,59.9,65.2
34,49.4,51.0
35,68.2,78.1
36,47.8,52.1
37,62.1,63.0
38,40.4,43.8
39,46.7,53.8
40,62.0,64.1
41,67.4,68.3
42,61.7,67.9
43,58.8,65.1
44,57.0,59.5
45,45.2,47.9
46,52.8,59.0
47,55.4,53.2
48,70.6,68.5
49,63.4,64.8
50,42.4,46.3
51,63.2,69.8
52,56.1,68.5
53,53.2,62.5
54,66.1,70.3
55,70.3,75.2
56,69.3,69.3
57,51.6,56.5
58,56.9,60.5
59,63.3,69.9
60,69.8,70.6
61,55.2,62.8
62,58.1,70.8
63,48.9,53.4
64,48.0,55.0
65,68.1,76.6
66,73.6,76.6
67,59.3,65.4
68,70.0,75.1
69,63.6,69.1
70,53.5,54.7
71,63.6,68.7
72,75.4,82.9
73,59.6,71.9
74,75.6,85.4
75,33.8,49.6
76,68.2,69.4
77,60.9,70.2
78,57.0,62.9
79,60.9,76.9
80,40.1,41.1
81,57.8,58.6
82,63.6,65.6
83,74.8,69.2
84,54.8,57.2
85,51.9,53.1
86,55.0,60.7
87,69.2,75.9
88,63.3,77.7
89,54.7,64.5
90,65.1,67.2
91,61.0,61.5
92,69.7,77.1
93,53.0,51.4
94,56.7,70.9
95,56.1,67.0
96,45.4,48.0
97,63.0,59.4
98,62.6,74.4
99,60.1,64.5
100,57.7,68.8
101,45.8,42.9
102,55.8,57.8
103,56.6,61.6
104,52.0,57.2
105,58.4,61.1
106,64.0,72.2
107,78.9,78.5
108,61.7,66.0
109,62.6,68.2
110,59.3,66.8
111,40.8,49.4
112,59.7,59.1
113,60.6,57.9
114,84.6,96.0
115,58.1,64.7
116,63.0,64.3
117,59.7,72.4
118,48.3,53.9
119,71.4,82.3
120,67.5,72.9
121,67.9,83.2
122,50.9,64.7
123,74.0,77.8
124,46.0,55.8
125,65.9,74.1
126,81.9,93.7
127,50.1,50.3
128,54.3,62.8
129,61.0,71.3
130,55.0,51.2
131,44.5,43.6
132,60.7,55.5
133,49.4,53.0
134,64.7,73.3
135,50.8,63.3
136,75.5,80.9
137,52.2,65.3
138,56.8,54.9
139,68.1,64.6
140,47.7,52.4
141,62.3,69.2
142,73.1,77.9
143,43.9,38.6
144,61.8,66.4
145,62.6,61.1
146,67.8,76.2
147,47.6,54.5
148,46.8,47.1
149,65.2,67.7
150,63.0,62.7
151,62.5,67.2
152,63.5,73.2
153,53.2,53.3
154,62.3,69.8
155,62.9,65.3
156,52.9,53.9
157,78.7,83.1
158,64.7,64.6
159,48.1,50.3
160,66.6,65.6
161,50.3,65.1
162,67.9,73.0
163,71.6,73.1
164,51.8,57.9
165,69.6,74.1
166,64.1,68.0
167,68.2,76.3
168,79.0,87.8
169,57.5,59.9
170,52.5,54.6
171,51.1,54.7
172,51.8,45.3
173,59.2,56.7
174,63.4,75.2
175,62.8,76.0
176,68.3,72.0
177,60.1,68.0
178,74.5,81.1
179,57.4,77.7
180,87.2,97.8
181,66.3,70.6
182,51.4,51.7
183,49.3,46.3
184,64.8,70.8
185,57.8,59.0
186,67.1,65.0
187,64.7,66.5
188,59.3,58.9
189,51.5,65.0
190,44.9,54.3
191,55.5,60.5
192,68.6,81.0
193,62.1,67.5
194,47.5,48.2
195,61.7,74.3
196,63.9,71.5
197,51.2,51.0
198,61.5,65.6
199,60.6,61.2
200,48.6,46.7
201,63.6,73.2
202,65.6,80.2
203,70.8,68.8
204,70.5,78.4
205,46.2,48.0
206,50.6,53.2
207,65.2,67.2
208,65.1,65.8
209,65.2,70.4
210,98.5,99.4
211,65.7,72.1
212,71.4,76.1
213,69.5,73.3
214,66.5,67.0
215,56.8,59.0
216,67.6,76.4
217,52.3,59.8
218,57.6,57.7
219,55.1,60.6
220,60.8,69.6
221,83.1,79.8
222,41.3,49.0
223,66.9,68.5
224,43.9,51.7
225,55.3,56.5
226,70.9,66.9
227,60.6,57.5
228,49.2,54.5
229,52.8,59.1
230,66.8,67.3
231,52.7,60.9
232,62.2,58.9
233,60.5,65.1
234,53.5,52.4
235,81.4,83.2
236,66.3,71.6
237,39.7,40.4
238,61.9,64.9
239,53.4,63.4
240,68.5,70.6
241,52.1,61.3
242,58.9,58.2
243,65.0,72.7
244,68.7,80.9
245,48.0,40.6
246,56.7,57.7
247,55.3,63.1
248,53.5,57.5
249,77.7,84.5
250,64.0,66.0
251,47.4,52.8
252,69.2,73.4
253,81.2,92.1
254,70.3,76.6
